property,bin,category_perclass,count_perclass,macro_ap,micro_ap,mcc_perclass,acc,acc_samples,acc_perclass,recall_perclass,precision_perclass,f1_perclass,f1_macro,f1_micro,jaccard_perclass,jaccard_macro,jaccard_micro,rocauc_perclass,rocauc_macro,rocauc_micro,mlrap,coverage_error,num_labels
Helix_Fraction_Status,0,"['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[112.  13.   3.  75.  26. 177. 533.  96.  88. 185.  56.  50.   4.  14.
 145. 596.  13.  18.  16. 104.   6.]",0.4464718533047118,0.6372403748590262,"[ 0.46782858  0.16674479 -0.00104027  0.49095314  0.17472212  0.56180132
  0.48377474  0.63891801  0.44409001  0.37412315  0.2889773   0.31678919
  0.49954962  0.56432288  0.79598724  0.64103266  0.08652679  0.26945731
  0.37194343  0.5592312  -0.00892925]",0.9308138372325535,0.247750449910018,"[0.92321536 0.97360528 0.99760048 0.96040792 0.955009   0.91961608
 0.74025195 0.95920816 0.95740852 0.86682663 0.9160168  0.92981404
 0.99820036 0.9940012  0.96940612 0.83383323 0.74025195 0.98980204
 0.98980204 0.9580084  0.97480504]","[0.58035714 0.30769231 0.         0.45333333 0.30769231 0.5819209
 0.80863039 0.6875     0.27272727 0.48648649 0.51785714 0.54
 0.25       0.42857143 0.74482759 0.78355705 0.69230769 0.11111111
 0.3125     0.35576923 0.        ]","[0.44520548 0.1025641  0.         0.57627119 0.12307692 0.63190184
 0.5656168  0.63461538 0.77419355 0.41474654 0.20422535 0.2231405
 1.         0.75       0.8852459  0.75934959 0.02054795 0.66666667
 0.45454545 0.925      0.        ]","[0.50387597 0.15384615 0.         0.50746269 0.17582418 0.60588235
 0.66563707 0.66       0.40336134 0.44776119 0.29292929 0.31578947
 0.4        0.54545455 0.80898876 0.77126342 0.03991131 0.19047619
 0.37037037 0.51388889 0.        ]",0.39870110452811175,0.555922258892556,"[0.33678756 0.08333333 0.         0.34       0.09638554 0.43459916
 0.49884259 0.49253731 0.25263158 0.28846154 0.17159763 0.1875
 0.25       0.375      0.67924528 0.62768817 0.02036199 0.10526316
 0.22727273 0.34579439 0.        ]",0.2768239036504931,0.3849669883189436,"[0.90508728 0.89056832 0.72355769 0.91082077 0.8607322  0.91215637
 0.8169193  0.96104525 0.90947234 0.84764927 0.89504079 0.90993197
 0.99323512 0.99019099 0.94790883 0.89139235 0.83289927 0.93726838
 0.85618565 0.9471     0.70309051]",0.8877263164197118,0.9403019225371602,0.7757933592145543,2.8614277144571085,1.8740251949610078
Helix_Fraction_Status,"[0, 0.2)","['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[ 51.  12.   1.  33.   8. 129. 329.  24.  31.  82.  29.  24.   2.   4.
  44. 526.  23.  19.  11.  33.   5.]",0.4667782401618724,0.739470249136499,"[ 0.48828296  0.29013783 -0.00097943  0.31616915  0.1185552   0.67438182
  0.48467869  0.75182628  0.25036343  0.36222475  0.31638304  0.27264983
  0.70676041  0.          0.90100472  0.68851644  0.09987131  0.72224311
  0.32663132  0.4637453   0.06518928]",0.9358866834404995,0.23972602739726026,"[0.94422701 0.95890411 0.99804305 0.96379648 0.96771037 0.9295499
 0.73874755 0.98923679 0.97162427 0.90998043 0.9481409  0.95596869
 0.99902153 0.99608611 0.99217221 0.8444227  0.63209393 0.99119374
 0.98434442 0.97455969 0.96379648]","[0.58823529 0.58333333 0.         0.27272727 0.25       0.69767442
 0.81458967 0.70833333 0.06451613 0.3902439  0.44827586 0.375
 0.5        0.         0.84090909 0.85551331 0.69565217 0.52631579
 0.36363636 0.27272727 0.2       ]","[0.45454545 0.15909091 0.         0.40909091 0.06896552 0.73170732
 0.56540084 0.80952381 1.         0.43243243 0.26       0.23076923
 1.         0.         0.97368421 0.84427767 0.04155844 1.
 0.30769231 0.81818182 0.02941176]","[0.51282051 0.25       0.         0.32727273 0.10810811 0.71428571
 0.66749689 0.75555556 0.12121212 0.41025641 0.32911392 0.28571429
 0.66666667 0.         0.90243902 0.84985836 0.07843137 0.68965517
 0.33333333 0.40909091 0.05128205]",0.4029806253627411,0.5941002949852507,"[0.34482759 0.14285714 0.         0.19565217 0.05714286 0.55555556
 0.50093458 0.60714286 0.06451613 0.25806452 0.1969697  0.16666667
 0.5        0.         0.82222222 0.73891626 0.04081633 0.52631579
 0.2        0.25714286 0.02631579]",0.2953361429550454,0.42257658413764165,"[0.91706549 0.96435644 0.65621939 0.88960382 0.90064103 0.96801132
 0.82810739 0.99565798 0.90364897 0.83672807 0.90478175 0.90526887
 0.9995098  0.99607073 0.99068135 0.91207224 0.70366018 0.97964003
 0.93903426 0.90636394 0.56027532]",0.8884475417781185,0.953771621847641,0.8456699292113908,2.4334637964774952,1.9275929549902153
Helix_Fraction_Status,"[0.2, 0.4)","['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[ 18.   3.   1.  12.   2.  48. 281.  24.  18.  67.  19.  28.   1.   3.
  91. 352.  29.   6.   3.  30.  10.]",0.3608363871779805,0.7009120414998332,"[ 0.2030633   0.13669404 -0.00136054  0.10763936 -0.00511508  0.55180362
  0.52373184  0.60211861  0.54264226  0.4287214   0.25930757  0.47093293
 -0.00192541  0.57656422  0.91699691  0.61589864  0.15458537  0.40685732
 -0.00409277 -0.00760352  0.06613267]",0.9412525879917184,0.31929347826086957,"[0.95244565 0.97690217 0.99728261 0.97826087 0.98777174 0.94836957
 0.74728261 0.97826087 0.98233696 0.90353261 0.94021739 0.94701087
 0.99592391 0.99728261 0.98233696 0.80842391 0.73097826 0.99320652
 0.99184783 0.95788043 0.96875   ]","[0.27777778 0.33333333 0.         0.08333333 0.         0.54166667
 0.86120996 0.5        0.38888889 0.49253731 0.42105263 0.64285714
 0.         0.33333333 0.9010989  0.78409091 0.62068966 0.16666667
 0.         0.         0.1       ]","[0.18518519 0.0625     0.         0.16666667 0.         0.61904762
 0.62210797 0.75       0.77777778 0.47142857 0.19512195 0.38297872
 0.         1.         0.95348837 0.80938416 0.08780488 1.
 0.         0.         0.06666667]","[0.22222222 0.10526316 0.         0.11111111 0.         0.57777778
 0.72238806 0.6        0.51851852 0.48175182 0.26666667 0.48
 0.         0.5        0.92655367 0.7965368  0.15384615 0.28571429
 0.         0.         0.08      ]",0.32515953557731736,0.6172006745362564,"[0.125      0.05555556 0.         0.05882353 0.         0.40625
 0.56542056 0.42857143 0.35       0.31730769 0.15384615 0.31578947
 0.         0.33333333 0.86315789 0.6618705  0.08333333 0.16666667
 0.         0.         0.04166667]",0.23459965678373493,0.44634146341463415,"[0.87728258 0.81991814 0.99455782 0.84116022 0.94754768 0.91309351
 0.8352978  0.96354167 0.94568245 0.83283136 0.86170447 0.90360169
 0.91564626 0.96907685 0.98052645 0.88645981 0.73784324 0.5956621
 0.95634379 0.84858357 0.59573003]",0.8677186430118993,0.9421731509481279,0.8295108495985236,2.775815217391304,1.8016304347826086
Helix_Fraction_Status,"[0.4, 1)","['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[ 11.   1.   1.   5.   3.  53. 148.  22.   8.  48.  13.  17.   4.   3.
  55. 144.  21.   5.   3.   3.   1.]",0.45280418429028985,0.6976416246212088,"[ 0.36425577 -0.00364959  0.         -0.01005973  0.25082262  0.7291439
  0.54991309  0.6989062   0.          0.38425885  0.35955297  0.39408701
  0.49806326  0.40455168  0.82607469  0.56753304  0.19788285  0.
  0.          0.81544099 -0.00257732]",0.9450361121312278,0.37275064267352187,"[0.96658098 0.99228792 0.99742931 0.97943445 0.98457584 0.93573265
 0.76349614 0.96915167 0.97943445 0.8714653  0.93830334 0.94344473
 0.99228792 0.99228792 0.95886889 0.80205656 0.80719794 0.98714653
 0.99228792 0.99742931 0.99485861]","[0.36363636 0.         0.         0.         0.33333333 0.77358491
 0.86486486 0.68181818 0.         0.4375     0.53846154 0.47058824
 0.25       0.33333333 0.81818182 0.67361111 0.52380952 0.
 0.         0.66666667 0.        ]","[0.4        0.         0.         0.         0.2        0.75925926
 0.64       0.75       0.         0.47727273 0.28       0.38095238
 1.         0.5        0.88235294 0.76377953 0.14473684 0.
 0.         1.         0.        ]","[0.38095238 0.         0.         0.         0.25       0.76635514
 0.73563218 0.71428571 0.         0.45652174 0.36842105 0.42105263
 0.4        0.4        0.8490566  0.71586716 0.22680412 0.
 0.         0.8        0.        ]",0.35642612994431094,0.629843363561418,"[0.23529412 0.         0.         0.         0.14285714 0.62121212
 0.58181818 0.55555556 0.         0.29577465 0.22580645 0.26666667
 0.25       0.25       0.73770492 0.55747126 0.12790698 0.
 0.         0.66666667 0.        ]",0.26260641481278146,0.45968712394705175,"[0.90500241 0.88402062 0.89690722 0.90885417 0.96804836 0.95400943
 0.8520803  0.93534803 0.74540682 0.8207478  0.90180033 0.86543327
 1.         0.82901554 0.96031573 0.89078798 0.79490166 0.67760417
 0.96373057 1.         0.5       ]",0.8692387809453773,0.9399072703727683,0.8169471654830035,2.9203084832904884,1.6555269922879177
Hydrophobic_Status,"[0, 0.34)","['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[ 68.  15.   1.  44.  15.  59. 206.   8.   9.  16.   6.   1.   1.  11.
 470.  26.   7.  27.  52.   6.]",0.46829509505785205,0.7345651180750622,"[ 0.58188195  0.19626809 -0.00187935  0.58283253  0.24808746  0.43306968
  0.46478712  0.52702332  0.46920535  0.28758977  0.15998217 -0.00266135
  1.          0.61158075  0.63518334  0.0817433   0.67363826  0.31563689
  0.49955978 -0.02309213]",0.9257957559681698,0.13925729442970822,"[0.9270557  0.93236074 0.99602122 0.95888594 0.95225464 0.9270557
 0.74005305 0.99204244 0.99071618 0.96949602 0.9867374  0.9933687
 1.         0.99071618 0.83156499 0.50132626 0.99469496 0.9535809
 0.94827586 0.92970822]","[0.66176471 0.4        0.         0.52272727 0.4        0.40677966
 0.7961165  0.375      0.22222222 0.3125     0.16666667 0.
 1.         0.45454545 0.91276596 0.73076923 0.57142857 0.33333333
 0.34615385 0.        ]","[0.58441558 0.125      0.         0.6969697  0.18181818 0.54545455
 0.51572327 0.75       1.         0.29411765 0.16666667 0.
 1.         0.83333333 0.83300971 0.04896907 0.8        0.34615385
 0.7826087  0.        ]","[0.62068966 0.19047619 0.         0.5974026  0.25       0.46601942
 0.6259542  0.5        0.36363636 0.3030303  0.16666667 0.
 1.         0.58823529 0.87106599 0.09178744 0.66666667 0.33962264
 0.48       0.        ]",0.4060626712044268,0.5772572723838307,"[0.45       0.10526316 0.         0.42592593 0.14285714 0.30379747
 0.45555556 0.33333333 0.22222222 0.17857143 0.09090909 0.
 1.         0.41666667 0.77158273 0.04810127 0.5        0.20454545
 0.31578947 0.        ]",0.29825604600779665,0.40573552841210836,"[0.94053336 0.92620659 0.50332005 0.96520487 0.90789355 0.92693574
 0.82597796 0.99396783 0.96181954 0.91438008 0.97994652 0.98273572
 1.         0.96537379 0.87756967 0.6851754  0.97035762 0.85154618
 0.89557309 0.39817291]",0.8736345234039937,0.9598071093770401,0.838865035999437,2.2997347480106103,2.1206896551724137
Hydrophobic_Status,"[0.34, 0.4)","['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[ 83.   9.   4.  54.  15. 131. 521.  32.  41. 108.  34.  23.   3.   8.
  81. 664.  28.  18.   3.  73.   7.]",0.39296863201021703,0.7020325722324214,"[ 0.36944177  0.18771568 -0.00147221  0.31200737  0.08120426  0.60235347
  0.50044226  0.55014507  0.15514478  0.29023835  0.23354119  0.09560568
  0.          0.49889503  0.88297003  0.65011256  0.11190156  0.57478805
 -0.0012745   0.56237176  0.07026368]",0.9326825513452993,0.22703894195444527,"[0.91036003 0.96620132 0.99632623 0.95077149 0.95003674 0.93607641
 0.73328435 0.98310066 0.96840558 0.89933872 0.94048494 0.952241
 0.99779574 0.99559148 0.98750918 0.82512858 0.66201323 0.99118295
 0.99706098 0.96399706 0.97942689]","[0.5060241  0.44444444 0.         0.31481481 0.2        0.57251908
 0.85604607 0.40625    0.07317073 0.33333333 0.38235294 0.17391304
 0.         0.25       0.80246914 0.82379518 0.71428571 0.33333333
 0.         0.34246575 0.14285714]","[0.34146341 0.08888889 0.         0.36170213 0.05084746 0.70754717
 0.60762943 0.76470588 0.375      0.35643564 0.17808219 0.08
 0.         1.         0.98484848 0.81886228 0.04237288 1.
 0.         0.96153846 0.04347826]","[0.40776699 0.14814815 0.         0.33663366 0.08108108 0.63291139
 0.71075697 0.53061224 0.12244898 0.34449761 0.24299065 0.10958904
 0.         0.4        0.88435374 0.82132132 0.08       0.5
 0.         0.50505051 0.06666667]",0.3297537623516826,0.5788091068301225,"[0.25609756 0.08       0.         0.20238095 0.04225352 0.46296296
 0.5512979  0.36111111 0.06521739 0.20809249 0.13829787 0.05797101
 0.         0.25       0.79268293 0.69681529 0.04166667 0.33333333
 0.         0.33783784 0.03448276]",0.23392864670458824,0.40727048675292665,"[0.87885816 0.90154504 0.68791452 0.86721075 0.80658742 0.94256811
 0.81998446 0.9853038  0.85225425 0.81586415 0.87266723 0.85127055
 0.98772705 0.99556541 0.959076   0.88698337 0.73124531 0.89575577
 0.80854197 0.92390241 0.50548639]",0.8560148626191791,0.9452839724213937,0.8279353589095056,2.7149155033063925,1.9309331373989713
Hydrophobic_Status,"[0.4, 0.46)","['cytoskeleton', 'actin-filaments', 'intermediate-filaments', 'centrosome', 'microtubules', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nuclear-speckles', 'nucleoli', 'nucleoli-fibrillar-center']","[ 39.   5.   1.  26.   9. 121. 502.  59.  60. 152.  47.  55.   6.  11.
 197. 431.  29.  17.   3.  42.   9.]",0.4542772903714722,0.6543655361771997,"[0.37669279 0.31294281 0.         0.25317315 0.17811823 0.65665099
 0.4605188  0.63449681 0.4410204  0.407376   0.31341274 0.37712022
 0.40605184 0.4497725  0.85058268 0.53562033 0.13931768 0.41782115
 0.         0.34009108 0.07486176]",0.9404214978487566,0.36217457886676874,"[0.96018377 0.99310873 0.9992343  0.97932619 0.98621746 0.94410413
 0.71286371 0.97013783 0.96324655 0.86906585 0.92343032 0.92649311
 0.99540582 0.99310873 0.96248086 0.79862175 0.83078101 0.98928025
 0.99770291 0.97166922 0.98238897]","[0.43589744 0.4        0.         0.15384615 0.22222222 0.66115702
 0.83466135 0.61016949 0.23333333 0.51973684 0.5106383  0.56363636
 0.33333333 0.27272727 0.84771574 0.65197216 0.51724138 0.17647059
 0.         0.11904762 0.11111111]","[0.36170213 0.25       0.         0.44444444 0.15384615 0.71428571
 0.58931083 0.69230769 0.875      0.44632768 0.23762376 0.30097087
 0.5        0.75       0.89784946 0.71319797 0.06756757 1.
 0.         1.         0.0625    ]","[0.39534884 0.30769231 0.         0.22857143 0.18181818 0.68669528
 0.69084913 0.64864865 0.36842105 0.48024316 0.32432432 0.39240506
 0.4        0.4        0.87206266 0.68121212 0.11952191 0.3
 0.         0.21276596 0.08      ]",0.3700276225154083,0.5919080919080919,"[0.24637681 0.18181818 0.         0.12903226 0.1        0.52287582
 0.52770781 0.48       0.22580645 0.316      0.19354839 0.24409449
 0.25       0.25       0.77314815 0.51654412 0.06355932 0.17647059
 0.         0.11904762 0.04166667]",0.2551284126529493,0.4203618304363249,"[0.86843543 0.79953882 1.         0.82442909 0.95519575 0.92965791
 0.80879467 0.92404822 0.91864633 0.84534343 0.88161831 0.87306155
 0.99846154 0.97535978 0.97337428 0.86023202 0.76691059 0.80892621
 0.57226912 0.92454039 0.76064422]",0.8699756030133694,0.9382938382628581,0.7858728542049639,2.9073506891271057,1.6715160796324655
Hydrophobic_Status,"[0.46, 1)","['cytoskeleton', 'centrosome', 'plasma-membrane', 'cytosol', 'endoplasmic-reticulum', 'golgi-apparatus', 'vesicles', 'endosomes', 'lysosomes', 'peroxisomes', 'lipid-droplets', 'mitochondria', 'nucleoplasm', 'nuclear-bodies', 'nuclear-membrane', 'nucleoli']","[  2.   1.  96.  62.  67.  35. 106.  30.  40.   1.   5.  46.  53.   3.
   6.   3.]",0.5262551556306194,0.6200245629998524,"[-0.00511509 -0.00255102  0.66464276  0.57869603  0.69790747  0.56845559
  0.33625827  0.3134345   0.43251627  0.          0.59484536  0.80573068
  0.69118587 -0.02135761  0.          0.        ]",0.9241412213740458,0.3842239185750636,"[0.98982188 0.99491094 0.86259542 0.88804071 0.90076336 0.94147583
 0.73536896 0.82188295 0.85496183 0.99745547 0.98982188 0.96183206
 0.93384224 0.93638677 0.98473282 0.99236641]","[0.         0.         0.84375    0.64516129 0.86567164 0.4
 0.52830189 0.63333333 0.675      0.         0.6        0.76086957
 0.62264151 0.         0.         0.        ]","[0.         0.         0.675      0.64516129 0.65909091 0.875
 0.50909091 0.24358974 0.38028169 0.         0.6        0.8974359
 0.84615385 0.         0.         0.        ]","[0.         0.         0.75       0.64516129 0.7483871  0.54901961
 0.51851852 0.35185185 0.48648649 0.         0.6        0.82352941
 0.7173913  0.         0.         0.        ]",0.3868965979943313,0.6054590570719603,"[0.         0.         0.6        0.47619048 0.59793814 0.37837838
 0.35       0.21348315 0.32142857 0.         0.42857143 0.7
 0.55932203 0.         0.         0.        ]",0.28908201117902954,0.43416370106761565,"[0.95140665 0.93877551 0.92199776 0.85142774 0.94730336 0.88754988
 0.74334363 0.81662075 0.87528329 1.         0.8628866  0.92958276
 0.93263041 0.85042735 0.91602067 0.98803419]",0.9008306588729733,0.90899349606149,0.7644130607871059,3.0381679389312977,1.6615776081424936
